Layout, Timestamp, Words, word len 0, word len 1, word len 2, word len 3, word len 4, target word, target word len,correct, history, gaze duration, tap duration
COLUMN,Saturday- May 30- 2020-7:08:07 PM,outside	design	wish	patient		,7,6,4,7,0,patient,7,T,2,849.006,330.117
COLUMN,Saturday- May 30- 2020-7:08:11 PM,line	data	true	movement	church	,4,4,4,8,6,true,4,T,1,360.040,493.840
COLUMN,Saturday- May 30- 2020-7:08:15 PM,capital	station	defense	century	together	,7,7,7,7,8,station,7,T,1,369.890,494.435
COLUMN,Saturday- May 30- 2020-7:08:19 PM,food	four	probably	college	must	,4,4,8,7,4,must,4,T,4,892.617,338.318
COLUMN,Saturday- May 30- 2020-7:08:23 PM,ten	rule	may	pain	fast	,3,4,3,4,4,fast,4,T,4,1566.303,357.937
COLUMN,Saturday- May 30- 2020-7:08:28 PM,speak	few	require	several	hope	,5,3,7,7,4,few,3,F,2,446.084,263.489
COLUMN,Saturday- May 30- 2020-7:08:32 PM,spring	civil	late	certainly	and	,6,5,4,9,3,late,4,T,4,838.759,436.757
COLUMN,Saturday- May 30- 2020-7:08:36 PM,environment	speech	building	street	light	,11,6,8,6,5,building,8,T,2,447.803,483.526
COLUMN,Saturday- May 30- 2020-7:08:40 PM,choose	back	often	plant		,6,4,5,5,0,plant,5,T,3,691.096,314.743
COLUMN,Saturday- May 30- 2020-7:08:44 PM,important	ask	fact	hundred		,9,3,4,7,0,ask,3,T,2,137.633,625.326
COLUMN,Saturday- May 30- 2020-7:08:48 PM,note	war	that	whose	measure	,4,3,4,5,7,whose,5,T,5,574.122,458.075
COLUMN,Saturday- May 30- 2020-7:08:52 PM,statement					,9,0,0,0,0,statement,9,T,1,11.971,483.222
COLUMN,Saturday- May 30- 2020-7:08:56 PM,cut	provide	laugh	spend	yet	,3,7,5,5,3,laugh,5,T,4,504.653,397.148
COLUMN,Saturday- May 30- 2020-7:08:59 PM,tend	ahead	behavior	recognize	per	,4,5,8,9,3,behavior,8,T,2,357.245,425.864
COLUMN,Saturday- May 30- 2020-7:09:03 PM,help					,4,0,0,0,0,help,4,T,1,10.972,476.419
COLUMN,Saturday- May 30- 2020-7:09:07 PM,cancer					,6,0,0,0,0,cancer,6,T,0,35.420,403.918
COLUMN,Saturday- May 30- 2020-7:09:10 PM,after	legal				,5,5,0,0,0,legal,5,T,7,1004.523,530.582
COLUMN,Saturday- May 30- 2020-7:09:15 PM,once	kid	someone	identify	show	,4,3,7,8,4,show,4,T,6,859.701,325.868
COLUMN,Saturday- May 30- 2020-7:09:19 PM,patient	crime	politics	successful	sing	,7,5,8,10,4,politics,8,T,3,998.976,346.582
COLUMN,Saturday- May 30- 2020-7:09:23 PM,and	sign	exist	great	pattern	,3,4,5,5,7,exist,5,T,1,435.381,583.439
COLUMN,Saturday- May 30- 2020-7:09:27 PM,he	nation	brother	street	people	,2,6,7,6,6,street,6,T,2,631.316,411.144
COLUMN,Saturday- May 30- 2020-7:09:31 PM,sing	travel	add	against		,4,6,3,7,0,travel,6,T,3,844.359,367.019
COLUMN,Saturday- May 30- 2020-7:09:36 PM,effort	picture	bar	source	just	,6,7,3,6,4,picture,7,T,5,993.586,447.623
COLUMN,Saturday- May 30- 2020-7:09:40 PM,among	treat	matter	ten	laugh	,5,5,6,3,5,ten,3,T,4,584.555,402.924
COLUMN,Saturday- May 30- 2020-7:09:44 PM,great	but	culture	million	political	,5,3,7,7,9,but,3,T,5,3288.717,692.150
COLUMN,Saturday- May 30- 2020-7:09:51 PM,ever	able	community	boy	suggest	,4,4,9,3,7,able,4,T,3,952.474,469.744
COLUMN,Saturday- May 30- 2020-7:09:56 PM,though	want	consumer	grow	school	,6,4,8,4,6,want,4,T,2,447.802,471.833
COLUMN,Saturday- May 30- 2020-7:10:00 PM,fact	look	stay	box	matter	,4,4,4,3,6,look,4,T,7,3190.856,514.625
COLUMN,Saturday- May 30- 2020-7:10:06 PM,itself					,6,0,0,0,0,itself,6,T,1,56.848,591.660
COLUMN,Saturday- May 30- 2020-7:10:10 PM,boy	stop	heart	economic	walk	,3,4,5,8,4,walk,4,T,4,730.343,376.991
COLUMN,Saturday- May 30- 2020-7:10:14 PM,rock	stay	apply	along	line	,4,4,5,5,4,apply,5,T,7,1566.844,503.831
COLUMN,Saturday- May 30- 2020-7:10:19 PM,toward	wall				,6,4,0,0,0,wall,4,T,1,738.317,345.078
COLUMN,Saturday- May 30- 2020-7:10:23 PM,statement	situation	weight	concern	field	,9,9,6,7,5,concern,7,T,2,624.520,596.417
COLUMN,Saturday- May 30- 2020-7:10:28 PM,lose	certainly	brother	job	determine	,4,9,7,3,9,determine,9,T,4,883.431,358.323
COLUMN,Saturday- May 30- 2020-7:10:32 PM,reflect	dark	we	trial		,7,4,2,5,0,we,2,T,1,449.794,513.634
COLUMN,Saturday- May 30- 2020-7:10:36 PM,and	news	respond	can	already	,3,4,7,3,7,can,3,T,3,433.968,461.766
COLUMN,Saturday- May 30- 2020-7:10:40 PM,shoulder	material				,8,8,0,0,0,material,8,T,2,751.752,312.211
COLUMN,Saturday- May 30- 2020-7:10:44 PM,just					,4,0,0,0,0,just,4,T,2,21.940,550.122
COLUMN,Saturday- May 30- 2020-7:10:47 PM,much	build	our	box	realize	,4,5,3,3,7,realize,7,T,4,547.536,382.996
